c,a
해열제를 먹으면 되나여?,네 열이 나면 해열제를 드세요
,
렘데시비르라는 약이 무엇인가요?,최근 FDA에서 긴급 승인된 약입니다
,
코로나 걸리면 치료받을 수 있을까요?,현재까지는 특별한 치료제는 나와있지 않습니다
,
코로나 걸릴까봐 너무 걱정이되요,
예방법이 있을까요?,아직까지 특별한 예방법이 없습니다
,
코로나 백신이 나왔다던데요?,아직 백신은 나오지 않았습니다
,
코로나 치료에 항생제가 효과 있다던데요?,일반적으로 항생제는 바이러스 감염에는 효과가 없고 세균감염에 효과적입니다
,
코로나 치료에 대해 문의드려요,
네 어떤 문의시지요?,
코로나가 감기랑 증상이 비슷하져?,네 증상이 비슷합니다
,
그럼 감기 걸렸을때 병원가서 항생제 주사 맞는데요,
네 그런데요?,
코로나도 항생제 주사 맞으면 되지 않을까요?,항생제는 바이러스 감염에는 효과가 없고 세균감염에 효과적입니다
,
그럼 항생제 주사 맞아도 소용없나요?,증상을 완화시킬수는 있습니다
,
항생제 주사 맞아도 될까요?,
항생제 주사는 사용하지 않나요?,사용하는 경우도 있습니다
,
어떤 경우에 사용하나요?,2차감염으로 세균감염이 되었을때 사용합니다
,
네 그렇군요 잘 알겠습니다,항생제에 대해 더 궁금한 사항 있나요?
,
충분히 이해했습니다,
코로나 양성판정 받아 치료받고 완쾌했습니다,코로나 치료 받으셨군요
,
네 치료받고 나았습니다,이제 괜찮으신가요?
,
네 이제 괜찮습니다,
이제 괜찮은데 해외여행 가도 될까요?,
한번 걸렸으니 면역 생긴거 아닌가요?,아직까지 코로나19에 감염되었던 사람이 다시 감염될 수 있는지에 대한 정보는 부족합니다
,
그럼 다시 걸릴수도 있다는 건가요?,네 그럴수도 있습니다
,
아직까지 그런거 모르나요?,
연구안하고 있나요?,재감염이 가능한지에 대한 연구가 전 세계 여러 곳에서 진행중입니다
,
현재도 연구중이라는거죠?,네 연구중에 있습니다
,
제가 코로나 걸렸는데요,코로나 걸리셨나요?
,
네 그렇습니다,그럼 자가격리 중이신가요?
,
네 자가격리중에 있습니다,
너무 답답한데 코로나 걸렸던 친구는 만나도 될까요?,재감염 될 수 있습니다
,
한번 걸렸는데 또 걸린다구요?,네 한번 걸려도 또 걸릴 수 있습니다
,
한번 걸리면 면역 생기는거 아닌가요?,연구가 진행중입니다
,
또 걸릴수도 있다는거군요,네 그렇습니다
,
그럼 만나지 않는게 좋겠네요,다시 감염될 우려가 있으니 그러시는게 좋겠습니다
,
저희 가족이 oo교회에 다니는데요,oo교회 말씀이신가요?
,
네 지난 달 뉴스에 나왔던 교회에요,
그동안 증상이 없었는데 며칠전부터 열이 나서요,검사는 받으셨나요?
,
네 검사 받았어요,검사 결과는 어떻게 받았나요?
,
저희 식구 모두 양성이에요,코로나 양성 판정 받으셨군요
,
저희 가족이 다 걸려서 치료비가 걱정되요,치료비는 국가에서 부담합니다
,
나라에서 돈 내준다고요?,네 국가 및 지자체에서 부담합니다
,
그러면 돈 걱정 안해도 되나요?,네 걱정 안하셔도 됩니다
,
그런게 법에 있나요?,네 법에 있습니다
,
그래요? 무슨 법이에요?,감염병의 예방 및 관리에 관한 법률입니다
,
잘알겠습니다,
코로나 때문에 너무 불안해요,
코로나 때문에 불안하시군요,
지금 며칠동안 집안에만 있었어요 치료제는 아직 나오지 않았나요?,네 아직 특별한 치료제는 나오지 않았습니다
,
그럼 언제 나와요?,여러나라에서 연구중에 있습니다
,
제가 몸이 약해서 외출하기가 불안해요 ,
밖에 나가야 할 일이 있는데 어떻하면 좋나요?,다중시설 이용 자제하시고 마스크 꼭 착용하세요
,
다른 예방법이 더 있나요?,"손 꼼꼼히 닦으시고, 닦지 않은 손으로 눈,코입 만지지 마세요"
,
올해 말에 아이를 낳아요,임신부신가요?
,
네 임신부에요,
병원에 가야하는데 가도 될까요?,임신부는 특히 병원가실때 마스크 꼭 착용하고 가세요
,
요가 학원하는데요 마스크 써야되나요,네 마스크 꼭 착용하셔야 합니다
,
회원들을 위해 제가 지킬 사항이 또 있나요?," 다중이용시설에 대해서는 손소독제 비치, 종사자 마스크 착용 등 기본적인 감염관리를 수행하도록 권고하였습니다"
,
아이 학원 선생님이 마스크 착용을 안하고 있어요,
학원 선생님 마스크 안써도 되나요?,다중시설 이용 관리자는 마스크 착용을 꼭 해야합니다
,
손소독제도 있어야 되는거져?,네 손소독제도 비치해야 합니다
,
코로나 예방으로 폐렴 백신 맞으면 효과있다던에요,
폐렴 백신 맞는 사람은 왜 그런거죠?,
효과가 아예 없나요?,다른 폐렴을 예방할 수는 있어 예방 접종을 권장되고 있습니다
,
코로나가 눈으로도 감염될 수 있나여?,네 눈으로도 감염될 수 있습니다
,
그럼 예방차원에서 콘택트 렌즈를 낄까요?,
효과가 있을까요?,
아니면 안경을 착용 하는게 나을까요?,아직까지 콘택트렌즈 착용자가 안경 착용자보다 코로나19 감염 위험이 더 높다는 증거는 없습니다
,
콘택트렌즈를 끼고 있는 사람이 주의 할점은 있나요?,"콘택트렌즈 세척, 소독 및 보관용 과산화수소계 약제는 코로나19 원인 바이러스의 예방에 효과가 있습니다"
,
렌즈를 끼고 있는데 감염 위험이 높으면 안경으로 바꿀까요?,콘택트렌즈 착용자가 더 위험하다는 증거는 없습니다
,
렌즈를 껴서 불안한데 초음파 세척기로 세척하는건 어떨까요?,바이러스 예방효과가 있다는 증거는 아직 없습니다
,
그럼 렌즈껴서 불안한데 어떻게 세척하져?,"렌즈 만지기 전 손씻고, 렌즈를 깨끗이 세척하세요"
,
일반적으로 세척해도 된다는거져?,"네 세정,소독액을 사용하여 세척하세요"
,
아이가 열이 나는데 학교 보내도 될까요?,코로나 의심 증상이 있나요?
,
감기기운과 열이 있어요,유증승자는 외출을 자제하세요
,
며칠이나 집에 있으면 되져?,3-4일정도 경과를 관찰하세요
,
집에서 공부도 시키지 말까요?,충분히 휴식을 취하세요
,
코로나 예방주사가 있나요?,코로나 예방주사는 아직 없습니다
,
BCG예방주사가 효과가 있다던데요,BCG백신 말씀하시는 건가요?
,
네 누가 그거 맞으면 코로나 안걸린다고,권장하지 않습니다
,
BCG백신 접종시킨 국가가 코로나 발병률이 낮다던데요,발병률이 낮다는 보고는 있지만 코로나 예방을 의미하지는 않습니다
,
예방주사는 안된다는거져?,네 예방주사는 아닙니다
,
음식점 오픈을 하는데 다중시설 코로나 예방 수칙이 있나요?,네 다중시설 예방수칙이 있습니다
,
어떤게 있나요?,"손소독제 비치, 종사자 마스크 착용 등 기본적인 감염관리를 수행하도록 권고하고있습니다"
,
비타민C 먹으면 코로나 예방된다던데 진짜인가요?,비타민c가 코로나를 예방한다는 근거 없습니다. 
,
사람들이 엄청 많이 사먹던데 왜 사먹는 거예요?,건강보호 목적으로 섭취하시는 것 같습니다. 
,
비타민c로 코로나 환자 치료도 한다던데요?,코로나 치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다. 
,
그럼 먹으면 안먹는거보다 좋긴 한거죠?,"코로나 에방, 치료와의 연관성은 밝혀진 것이 없습니다. "
,
백신이 빨리 만들어져야겠네요.,백신 연구 중에 있습니다. 
,
언제 만들어져요?,연구 중에 있는 관계로 확실한 시기는 알 수 없습니다.
,
만들어지면 독감예방주사처럼 바로 가서 다 맞는거예요?,맞는 시기와 연령에 대해선 아직 논의가 이루어지지 않았습니다. 
,
그것도 어린이랑 노인분들만 무료로 맞춰주나요?,백신 무료 접종 여부에 대해서도 논의가 이루어지지 않았습니다. 
,
알겠습니다. ,더 궁금한 점 있으십니까?
,
"아니요, 없어요.","네, 감사합니다."
,
홍삼 먹으면 코로나 예방에 도움 되나요? ,홍삼이?코로나를 예방한다는 근거 없습니다. 
,
코로나 예방된다고 홍삼 판다는 광고 많이 하던데요?,사실 확인이 되지 않은 과대광고일 수 있습니다. 
,
그럼 신고도 되나요?,과대광고로 신고 가능합니다.
,
어디다 해야돼요?,소비자보호원에서 가능합니다. 
,
그럼 먹으면 코로나 감염 예방에 도움되는 음식은 뭐가 있을까요?,음식과 예방 관계가 증명된 것은 없습니다. 
,
그럼 뭘 먹든 상관없는거네요.,면연력을 키울 수 있는 음식을 드시는 것이 좋을 것같습니다. 
,
면연력에 좋은게 뭐가 있을까요?,영양소를 골고루 섭취하는 것을 권합니다.
,
또요? 또 뭘하면 코로나에 안걸리수 있을까요?,"불필요한 외출, 만남은 피하고 개인 방역에 힘써 주시기 바랍니다. "
,
마스크 쓰고 손씻기 잘하는 거요?,"네, 그렇습니다. "
,
알겠습니다.,즐거운 하루되세요.
,
독감 백신으로 코로나 예방 가능한가요?,올해 접종한 독감 백신 말씀이신가요? 
,
"네, 이번에 맞았는데 이게 코로나도 예방이 되나해서요.",독감인플레인자와 코로나19는 다른 바이러스이기 때문에 독감 백신으로 코로나19를 예방할 수 없습니다. 
,
그럼 코로나 예방도 안되는데 이번에 왜이렇게 맞는 사람이 많아요?,작년보다 빠른 속도로 접종들 하고 있는 것으로 통계됩니다. 
,
오후에 가면 백신도 없어서 못 맞는다는데..,독감 백신은 하루 100인으로 제한됩니다. 
,
코로나 예방도 안되는데 새삼스레 웰케 많이들 독감 접종하는거예요?,독감으로 인해 열이 나면 코로나 검사를 받아야 할 수 있어서로 예측됩니다.
,
"아, 독감이랑 코로나랑 증상이 비슷해요?",그렇습니다. 
,
의사들도 구분을 못해요?,열이 나면 예방차원에서 코로나 검사를 먼저 실시해야 합니다. 
,
그렇구나..알겠습니다.,더 궁금한 점 있으신가요? 
,
코로나 백신도 제나이면 돈내고 맞아야 하나요? ,아직 논의되지 않았습니다. 
,
네 알겠습니다. ,"네, 즐거운 하루되세요."
,
코로나 예방 수칙 중에 손씻는 거 있잖아요. ,네 그렇습니다. 
,
아니 나라에서 손 잘 씻으라면서 왜 지하철 화장실에 비누가 없어요?,어느 지하철 역인가요?
,
잠실역이요.,네 채워놓도록 연락하겠습니다. 
,
네 감사합니다. ,또 궁금한 점 있으신가요?
,
근데 화장실 중에 액체 비누 말고 고체 비누 쓰느데 있잖아요. ,네 말씀하세요. 
,
고체 비누 쓰기 찝찝하더라고요 이사람 저사람 다 만진건데..,고체 비누로인한 감염을 우려하시는 건가요?
,
네 맞아요.,고체 비누로 인한 감염은 되지 않습니다. 
,
진짜요? ,네 거품을 내서?30초 이상 흐르는 물에 씻으면 문제 없습니다. 
,
고체 비누 쓰기 싫어서 물로만 씻은 적도 있었는데..,물로만 씻는 것 보다는 고체 비누로 씻는 것이 감염 예방에 훨씬 효과적입니다. 
,
"네, 알겠습니다. ",감사합니다. 
,
코로나 감염 예방 위해 손 씻기 하잖아요.,"네, 어떤 점이 궁금하시죠?"
,
외출 후 손만 잘 씻으면 돼요?,외출 후 손을 비누로 흐르는 물에 30초 이상 씻어주세요. 
,
바이러스가 얼굴이나 다른 피부에는 안 묻어요?,다른 피부에서도 바이러스가 검출 될 수 있습니다.
,
근데 왜 티비보면 맨날 손 씻는 얘기만 해요?,손이 외부 환경에 가장 많이 노출되어 있기 때문입니다. 
,
손으로 여기 저기 만지니까요?,그렇습니다.
,
손이나 피부에 바이러스가 묻는거 만으로 감염되는건 아니죠?,"네 눈과 코, 입 등으로 들어갈 경우 감염됩니다. "
,
"그래서 손으로 눈이나 코, 입 만질까봐 씻으라고 하는 거군요?",네 그렇습니다.
,
"그럼 손씻고 세수 안한 얼굴 만지고 눈, 코, 입 만지는 것도 위험한 행동이네요.",네 외출 후에는 몸 전체를 씻으시는 것이 좋습니다. 
,
"네, 깨끗히 씻을게요.",더 궁금한 점 있으신가요?
,
"아니요, 없어요.",네 건강 유의하세요.
,
우리나라에서도 렘데시비르 투약 하나요? ,네 투약 합니다. 
,
그게 이번에 트럼프가 처방 받았다는 약 맞죠?,렘데시비르와 덱사메타손을 처방받은 것으로 알려졌습니다.
,
우리나에서도 코로나 걸림?그 약 쓰는 거예요?,우리나라의 경우 중증환자에게 사용하고 있습니다. 
,
몇명이나 썼어요?,9월 7일 기준 총 274명입니다.
,
그럼 그사람들 다 났어요? ,사망 환자는 누적 16명입니다. 
,
그 약을 썼는데도 치료가 안된거예요? ,렘데시비르 투약과만 관련된 것은 아닙니다. 
,
그럼 렘데시비르만큼 적합한 약이 또 있어요?,현재 코로나 치료로 승인된 다른?약은 없습니다. 
,
아.. 약이 빨리 더 개발돼야겠네요.,네 현재 개발 중에 있습니다. 
,
더 궁금 한 것 있으신가요? ,
아니요 없어요.,네 그럼 통화 종료하겠습니다. 
,
감사합니다. ,
서울시는 마스크 의무착용 인가요?,"네, 그렇습니다."
,
병원에 입원 해 있는 사람들도 마스크를 쓰고 있어야 되요?,"네, 특별한 경우가 아니라면 마스크 착용 하셔야 합니다."
,
병원은 소독 같은것도 잘 되고 하니까 안써도 되지 않아요?,그렇다 하도라도 마스크는 착용하셔야 합니다.
,
마스크 쓰는게 불편한 사람은 어떻해요?,마스크 착용시 호흡이 어려운 호흡기기저질환 환자는 예외입니다.
,
그래요?,
수술하고 그런 사람들은 마스크 쓰는게 불편하지 않나요?,마스크 착용 시 건강이 악화 될 수 있는 중증환자도 예외입니다.
,
마스크 착용이 예외되는 사람은 누가 결정해요?,전문의의 소견이 있어야 예외로 인정 할 수 있습니다.
,
의사가 보고 결정 하는 거라고요?,"네, 그렇습니다."
,
그런 경우가 아니면 병원에 입원 해 있어도 마스크는 계속 쓰고 있어야 된다는거죠?,"네, 맞습니다."
,
마스크 구매 하고 싶은데 지금 다 품절이라는데 어떻게 해요?,마스크 구매 안내해드리겠습니다.
,마스크 구매하시려는 지역 어디신가요?
,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하실 수 있습니다.
,
그럼 그 날에만 맞춰서 사야되는거네요,네 맞습니다.
,
근데 아니 어떻게 두 개만 가지고 일주일을 살 수 있어요?,현재 마스크 공급량이 부족하여 마스크 요일제를 시행하고 있습니다.
,
썻던 마스크를 또 써도 되는거에요?,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능하다고 안내하고 있습니다.
,
굉장히 찝찝하네요. 아무데서나 살 수 있어요?,약국에서 판매되고 있습니다.
,
근데 다이소 이런데나 인터넷에서 사도 되긴 하는건가요?,판매하는 곳이 있으면 구매하셔서 사용하셔도 됩니다.
,
하긴.. 인터넷에도 요즘 잘 안팔더라고요.,현재 상황에선 마스크 요일제에 따라 정해진 요일에 약국에서 사시는게 저렴하고 안전한 방법이라고 생각됩니다.
,
네 알겠습니다.. ,더 필요하신 부분 있으신가요?
,
아니요 없어요. 고생하세요.,네 감사합니다.
,
마스크 좀 문의드릴게요.,네 말씀하세요.
,
마스크가 너무 비싼데.. 마스크는 일회용인가요?,마스크의 종류가 여러가지가 있습니다. 어떤 마스크 말씀이시죠?
,
제가 쓰고 있는건 의료용 마스크에요.,의료용 마스크의 경우 일회용으로 착용하시고 버리시는걸 권장드립니다.
,
그럼 두 번씩은 못쓰나요?,마스크가 없으신 경우에는 이틀도 사용 하셔도 괜찮습니다.
,
마스크 쓰는 방향이 따로 있다던데요?,네 맞습니다 마스크의 주름이 아래를 향하도록 하고 콧대 부분이 고정될 수 있도록 착용하셔야합니다.
,
왜 주름이 아래로 가야되는데요?,비말이나 먼지가 주름을 타고 내려가도록 해야하는데 반대로 착용하실 경우 비말이나 먼지가 주름사이에 끼어 있을 수 있습니다.
,
아 그렇군요.. 마스크를 벗을때는 어떻게 해야하죠?,마스크 앞쪽을 만지지 마시고 귀쪽 고리를 잡고 빼시면 됩니다.
,
그렇게 하는 이유는요?,마스크 표면에는 감염된 타인의 비말이 묻어 있을 수 있는데 그걸 손으로 만진 뒤 눈코입등을 만지면 비말감염이 될 수 있습니다.
,
네네 좋은정보네요. 이런 정보들을 잘 모른느 사람들이 많은데 좀 공유가 잘 되면 좋곘어요.,웹사이트에서 검색하시면 아실 수 있으시고 질병관리청 홈페이지에도 게시될 수 있도록 하겠습니다.
,
올 ~~ 네네 감사합니다 !!,네 감사합니다.
,
마스크 구매 자유롭게 살 수 있게 되었나요?,"네. 자유롭게 약국, 마트, 홈페이지에서 구매 가능합니다. "
,
대량으로도요?,네. 가능합니다.
,
예정에는 마스크 요일제가 있었잖아요?,코로나 확진자가 증가하고 해제 되었습니다. 
,
그럼 민증도 약국에 안가져 가도 되나요?,가져가셔야 합니다.
,
왜요?,마스크 출처를 위해 필요합니다. 
,
마스크 때문에 피부가 난리인데 벗으면 안될까요?,되도록 마스크를 쓰시길 바랍니다.
,
언제쯤 마스크를 벗을 수 있나요?,코로나가 종식되면 마스크를 벗을 수 있습니다. 
,
네,
약국에서 가격은 어떻게 해요?,"개당 1,500원입니다. "
,
할인 안되나요?,되지 않습니다.
,
알겠습니다. 감사합니다. ,
공적마스크가 필요한데 어디서 구매하나요?,가까운 약국이나 편의점에서 구매 가능하십니다. 
,
재고 확인은 어디서 해요?,전화 후 방문 해보시길 권고드립니다 .
,
전화말고는 없나요?,어플을 통해 가능합니다. 
,
어플에 마스크 재고량이 확인가능한가요?,네.
,
어떤 어플이죠?,똑딱이라는 어플입니다. 
,
네 알겠습니다. ,
마스크 5부제는 아직도 하나요?,지금은 폐지되었습니다.
,
언제 폐지가 되었죠?,5월부터 폐지되었습니다. 
,
그렇군요.,
마스크도 여름용이 있어요?,계절용은 없습니다. 
,
네 알겠습니다. ,감사합니다. 
,선별진료소에서도 진료 담당하는 분과 검채채취하는 분이 분리되어 있습니다
,
아니. 분리되어있다고 해도 숫자 집계는 하나씩 뺄수 있는거 아닌가요,진단 검사는 민간 기관에서 수행되고 있습니다
,
아까는 정부에서 취합한다면서요,모든 검사 과정의 결과는 실시간으로 기록되어 조작이 불가합니다.
,
추석 기간동안 거리두기는 어떻게 진행되나요,전국 2단계를 적용합니다만 국공립시설운영은 제한적으로 허용됩니다.
,
전국이 동일하게 적용되나요,수도권지역과 비수도권 지역이 다르게 적용됩니다.
,
야구경기는 계속 하는거죠?,무관중 경기로 계속 진행됩니다.
,
추석 전 사우나 갈 수 있는거죠?,핵심방역지침에 잘 따르는 조건으로 이용가능합니다.
,
친척집에 가서 조카들과 PC 방 가도 되겠죠,미성년자는 출입이 불가합니다.
,
수도권/비수도권의 차이는 뭐에요,"수도권은 총 11개 업종이 집합금지지만, 비수도권은 6개 업종이 집합금지입니다."
,
친척들과 노래방 갈 수 있어요? ,비수도권 지역이라면 노래방 출입은 가능하십니다만 방역수칙을 잘 지켜줘야 합니다.
,
추석기간동안 워터파크에 가도 되겠죠,
코로나 치료제는 나오나요?,아직까지 치료제는 확실히 밝혀진게 없습니다.
,
언제 개발되나요?,최근 FDA에서 치료제로 긴급승인이 되긴 했습니다.
,
아그래요? 어떤 약인가요?,"""렘데시비르""입니다."
,
오 다행입니다 .,
코로나 예방 백신은 있을까요?,현재는 알려진 백신이 없습니다.
,
코로나에서 회복되면 면역이 생기나요?,아직까지 재감염에 대한 연구는 진행중입니다.
,
면역이 생기면 좋은텐데 말이죠,
그럼 코로나에 걸리면 치료비는 누가내나요?,국가 및 지자체에서 부담합니다.
,
다행이네요 큰 돈이 들텐데,단 협조하지 않을 경우 지원이 제한됩니다.
,
"아 네, 알겠습니다.",
PC방에 너무 가고 싶은데 가도 되나요?,다중이용시설에 대해서는 개인방역수칙을 잘 지키셔야됩니다.
,
손소독만 잘 하면 되는거 아닌가요?,마스크도 꼭 착용하셔야 합니다.
,
안녕하세요. 질병관리본부입니다.,코로나 바이러스는 어떤 바이러스에요?
,동물 및 사람에게 전파될 수 있는 바이러스입니다.
,뉴스에서 나오는게 다 이거 하나를 말하는건가요?
,사람에게 전파 가능한 코로나바이러스는 6종이 있습니다.
,6개의 증상이 다 비슷한가요?
,4종은 감기와 같은 질병을 일으키고 2종은 아닙니다.
,6개를 다 조심해야 하는건가요?
,이번 유행 바이러스는 6종 중 하나인 신종 바이러스입니다.
,처음 발견된게 언제에요?
,2019년 중국 우한에서 처음 보고되었습니다.
,자연적으로 생긴거에요?
,"코로나바이러스는 낙타, 소, 고양이, 박쥐 등에서 흔하게 서식하는 바이러스입니다."
,동물의 병이 사람한테 전염되었다는 건가요?
,대부분 그렇지 않지만 드물게 사람에게 전파되어 전염될수 있습니다.
,그럼 고양이가 원인일 수도 있다는 말이죠?
,박쥐에게서 유래한 것으로 추측하고 있습니다.
,
정말 끔찍하네요.,
다른 질문 있으십니까?,
아니오,
안녕하세요. 질병관리본부입니다.,우리 아들이 지금 군대에 있는데요.
,"네, 말씀하세요."
,매점에 손소독제가 다 떨어졌다고 해서요.
,네
,일단 택배로 부쳐주려고는 하는데요.
,네
,당장 쓸게 없다고 하는데 비슷하게 뭐 만들어서 쓸수 없을까요?
,집에서 손 소독제를 만드는 것과 그러한 제품의 사용을 권장하지 않습니다. 
,소독만 하면 되는거 아닌가요?
, 올바른 성분 사용에 대한 우려가 있고 멸균 조건에서 만드는 작업이 필요하기 때문입니다. 
,알코올 넣고 만들면 뭐 비스무리한거 아닌가요?
,일부 종류의 세균을 죽이는 데 효과적인 손 소독제는 적어도 60% 알코올 이상이어야 합니다.
,손이 눈에 보이게 더럽지 않거나 기름때가 없을 때 사용할 수 있습니다.
,
그럼 된다는 말이네요?,"에센셜 오일만을 기반으로 하거나 올바른 혼합 관행 없이 조제된 ""자체제작"" 또는 ""DIY"" 레시피에 의존하지 마세요."
,
"아이고, 그럼 다른 친구들하고 나눠 써보라고 해야겠어요.","네, 그편을 권장합니다."
,
"네, 알겠습니다.","네, 감사합니다."
,
안녕하세요. 질병관리본부입니다.,마스크에 대해 문의하려구요.
,"네, 말씀하세요."
,KF94와 다른 마스크 차이가 뭔가요?
,KF94는 미세한 입자까지 막는 필터가 있습니다.
,다른 마스크는 효과가 없는건가요?
,KF80이나 KF60도 효과가 있습니다.
,의료용 마스크 써도 되나요?
,의료용 덴탈마스크도 효과가 있습니다.
,마스크가 너무 비싸요.
,최근 가격이 많이 내려갔습니다.
,천마스크로 여러 번 써도 되나요?
,천마스크는 효과가 없는 것으로 알려졌습니다.
,인터넷에서 사도 되나요?
,인터넷에서 대량구매하시는 게 더 저렴합니다.
,집에서 있을 때도 써야하나요?
,실내에서 타인과 인접한 거리일때 쓰시면 됩니다.
,요새 마스크 얼마쯤 하나요?
,직접 찾아보시면 나옵니다.
,
"네, 감사합니다.",
안녕하세요. 질병관리본부입니다.,외출할 때 마스크 쓰면 안전할까요?
,무조건은 없습니다만 마스크 쓰고 거리를 두는 것이 최선입니다.
,카페나 음식점에서도 거리두기 지켜야되나요?
,그렇습니다.
,동일한 거리로 거리둬서 앉으면 소개팅은 어떻게해요?
,안타깝지만 상황을 받아들이거나 연기하시는 게 나아보입니다.
,연인끼리 손잡고 다니는 것도 안되나요?
,거리두기는 권고일 뿐입니다.
,아기도 부모와 거리둬야 하나요?
,아이는 어른과 동행해야 하지만 외출을 자제하는게 더 좋습니다.
,흡연자 담배연기로도 바이러스 전염되나요?
,담배연기는 바이러스를 운반할 가능성이 적습니다.
,왜죠?
,담배연기는 비말입자보다 작기 때문입니다.
,그래도 흡연자 옆에 있는건 위험하죠?
,마스크를 쓰지 않기 때문에 조심해야 합니다.
,공공장소에서 흡연하면 가중처벌 있나요?
,코로나로 인해 가중되는 것은 없습니다.
,
"네, 감사합니다.",선별진료소에서도 진료 담당하는 분과 검채채취하는 분이 분리되어 있습니다
,
아니. 분리되어있다고 해도 숫자 집계는 하나씩 뺄수 있는거 아닌가요,진단 검사는 민간 기관에서 수행되고 있습니다
,
아까는 정부에서 취합한다면서요,모든 검사 과정의 결과는 실시간으로 기록되어 조작이 불가합니다.
,
추석 기간동안 거리두기는 어떻게 진행되나요,전국 2단계를 적용합니다만 국공립시설운영은 제한적으로 허용됩니다.
,
전국이 동일하게 적용되나요,수도권지역과 비수도권 지역이 다르게 적용됩니다.
,
야구경기는 계속 하는거죠?,무관중 경기로 계속 진행됩니다.
,
추석 전 사우나 갈 수 있는거죠?,핵심방역지침에 잘 따르는 조건으로 이용가능합니다.
,
친척집에 가서 조카들과 PC 방 가도 되겠죠,미성년자는 출입이 불가합니다.
,
수도권/비수도권의 차이는 뭐에요,"수도권은 총 11개 업종이 집합금지지만, 비수도권은 6개 업종이 집합금지입니다."
,
