,고객질문(요청),상담사답변
31,코로나 치료제가 개발되었나요?,증상을 완화시킬 수 있습니다
32,코로나가 걸려서 열이 많이 나요,네 열이 나면 해열제를 드세요
33,코로나 약이 있나요?,최근 FDA에서 긴급 승인된 약입니다
34,해열제를 먹으면 되나여?,현재까지는 특별한 치료제는 나와있지 않습니다
35,렘데시비르라는 약이 무엇인가요?,아직까지 특별한 예방법이 없습니다
36,코로나 걸리면 치료받을 수 있을까요?,아직 백신은 나오지 않았습니다
37,코로나 걸릴까봐 너무 걱정이되요,일반적으로 항생제는 바이러스 감염에는 효과가 없고 세균감염에 효과적입니다
38,예방법이 있을까요?,네 증상이 비슷합니다
39,코로나 백신이 나왔다던데요?,항생제는 바이러스 감염에는 효과가 없고 세균감염에 효과적입니다
40,코로나 치료에 항생제가 효과 있다던데요?,증상을 완화시킬수는 있습니다
41,코로나 치료에 대해 문의드려요,사용하는 경우도 있습니다
42,네 어떤 문의시지요?,2차감염으로 세균감염이 되었을때 사용합니다
43,코로나가 감기랑 증상이 비슷하져?,코로나 치료 받으셨군요
44,그럼 감기 걸렸을때 병원가서 항생제 주사 맞는데요,아직까지 코로나19에 감염되었던 사람이 다시 감염될 수 있는지에 대한 정보는 부족합니다
45,네 그런데요?,네 그럴수도 있습니다
46,코로나도 항생제 주사 맞으면 되지 않을까요?,재감염이 가능한지에 대한 연구가 전 세계 여러 곳에서 진행중입니다
47,그럼 항생제 주사 맞아도 소용없나요?,네 연구중에 있습니다
48,항생제 주사 맞아도 될까요?,재감염 될 수 있습니다
49,항생제 주사는 사용하지 않나요?,네 한번 걸려도 또 걸릴 수 있습니다
50,어떤 경우에 사용하나요?,연구가 진행중입니다
51,코로나 양성판정 받아 치료받고 완쾌했습니다,네 그렇습니다
52,이제 괜찮은데 해외여행 가도 될까요?,다시 감염될 우려가 있으니 그러시는게 좋겠습니다
53,한번 걸렸으니 면역 생긴거 아닌가요?,코로나 양성 판정 받으셨군요
54,그럼 다시 걸릴수도 있다는 건가요?,치료비는 국가에서 부담합니다
55,아직까지 그런거 모르나요?,네 국가 및 지자체에서 부담합니다
56,연구안하고 있나요?,네 걱정 안하셔도 됩니다
57,현재도 연구중이라는거죠?,네 법에 있습니다
58,제가 코로나 걸렸는데요,감염병의 예방 및 관리에 관한 법률입니다
59,너무 답답한데 코로나 걸렸던 친구는 만나도 될까요?,네 아직 특별한 치료제는 나오지 않았습니다
60,한번 걸렸는데 또 걸린다구요?,여러나라에서 연구중에 있습니다
61,한번 걸리면 면역 생기는거 아닌가요?,다중시설 이용 자제하시고 마스크 꼭 착용하세요
62,또 걸릴수도 있다는거군요,"손 꼼꼼히 닦으시고, 닦지 않은 손으로 눈,코입 만지지 마세요"
63,그럼 만나지 않는게 좋겠네요,임신부는 특히 병원가실때 마스크 꼭 착용하고 가세요
64,저희 가족이 oo교회에 다니는데요,네 마스크 꼭 착용하셔야 합니다
65,저희 가족이 다 걸려서 치료비가 걱정되요," 다중이용시설에 대해서는 손소독제 비치, 종사자 마스크 착용 등 기본적인 감염관리를 수행하도록 권고하였습니다"
66,나라에서 돈 내준다고요?,다중시설 이용 관리자는 마스크 착용을 꼭 해야합니다
67,그러면 돈 걱정 안해도 되나요?,네 손소독제도 비치해야 합니다
68,그런게 법에 있나요?,다른 폐렴을 예방할 수는 있어 예방 접종을 권장되고 있습니다
69,그래요? 무슨 법이에요?,네 눈으로도 감염될 수 있습니다
70,코로나 때문에 너무 불안해요,아직까지 콘택트렌즈 착용자가 안경 착용자보다 코로나19 감염 위험이 더 높다는 증거는 없습니다
71,지금 며칠동안 집안에만 있었어요 치료제는 아직 나오지 않았나요?,"콘택트렌즈 세척, 소독 및 보관용 과산화수소계 약제는 코로나19 원인 바이러스의 예방에 효과가 있습니다"
72,그럼 언제 나와요?,콘택트렌즈 착용자가 더 위험하다는 증거는 없습니다
73,제가 몸이 약해서 외출하기가 불안해요 ,바이러스 예방효과가 있다는 증거는 아직 없습니다
74,밖에 나가야 할 일이 있는데 어떻하면 좋나요?,"렌즈 만지기 전 손씻고, 렌즈를 깨끗이 세척하세요"
75,다른 예방법이 더 있나요?,"네 세정,소독액을 사용하여 세척하세요"
76,올해 말에 아이를 낳아요,유증승자는 외출을 자제하세요
77,병원에 가야하는데 가도 될까요?,3-4일정도 경과를 관찰하세요
78,요가 학원하는데요 마스크 써야되나요,충분히 휴식을 취하세요
79,회원들을 위해 제가 지킬 사항이 또 있나요?,코로나 예방주사는 아직 없습니다
80,아이 학원 선생님이 마스크 착용을 안하고 있어요,권장하지 않습니다
81,학원 선생님 마스크 안써도 되나요?,발병률이 낮다는 보고는 있지만 코로나 예방을 의미하지는 않습니다
82,손소독제도 있어야 되는거져?,네 예방주사는 아닙니다
83,코로나 예방으로 폐렴 백신 맞으면 효과있다던에요,네 다중시설 예방수칙이 있습니다
84,폐렴 백신 맞는 사람은 왜 그런거죠?,"손소독제 비치, 종사자 마스크 착용 등 기본적인 감염관리를 수행하도록 권고하고있습니다"
85,효과가 아예 없나요?,비타민c가 코로나를 예방한다는 근거 없습니다. 
86,코로나가 눈으로도 감염될 수 있나여?,건강보호 목적으로 섭취하시는 것 같습니다. 
87,그럼 예방차원에서 콘택트 렌즈를 낄까요?,코로나 치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다. 
88,효과가 있을까요?,"코로나 에방, 치료와의 연관성은 밝혀진 것이 없습니다. "
89,아니면 안경을 착용 하는게 나을까요?,백신 연구 중에 있습니다. 
90,콘택트렌즈를 끼고 있는 사람이 주의 할점은 있나요?,연구 중에 있는 관계로 확실한 시기는 알 수 없습니다.
91,렌즈를 끼고 있는데 감염 위험이 높으면 안경으로 바꿀까요?,맞는 시기와 연령에 대해선 아직 논의가 이루어지지 않았습니다. 
92,렌즈를 껴서 불안한데 초음파 세척기로 세척하는건 어떨까요?,백신 무료 접종 여부에 대해서도 논의가 이루어지지 않았습니다. 
93,그럼 렌즈껴서 불안한데 어떻게 세척하져?,"네, 감사합니다."
94,일반적으로 세척해도 된다는거져?,홍삼이?코로나를 예방한다는 근거 없습니다. 
95,아이가 열이 나는데 학교 보내도 될까요?,사실 확인이 되지 않은 과대광고일 수 있습니다. 
96,며칠이나 집에 있으면 되져?,과대광고로 신고 가능합니다.
97,집에서 공부도 시키지 말까요?,소비자보호원에서 가능합니다. 
98,코로나 예방주사가 있나요?,음식과 예방 관계가 증명된 것은 없습니다. 
99,BCG예방주사가 효과가 있다던데요,면연력을 키울 수 있는 음식을 드시는 것이 좋을 것같습니다. 
100,BCG백신 접종시킨 국가가 코로나 발병률이 낮다던데요,영양소를 골고루 섭취하는 것을 권합니다.
101,예방주사는 안된다는거져?,"불필요한 외출, 만남은 피하고 개인 방역에 힘써 주시기 바랍니다. "
102,음식점 오픈을 하는데 다중시설 코로나 예방 수칙이 있나요?,"네, 그렇습니다. "
103,어떤게 있나요?,즐거운 하루되세요.
104,비타민C 먹으면 코로나 예방된다던데 진짜인가요?,독감인플레인자와 코로나19는 다른 바이러스이기 때문에 독감 백신으로 코로나19를 예방할 수 없습니다. 
105,사람들이 엄청 많이 사먹던데 왜 사먹는 거예요?,작년보다 빠른 속도로 접종들 하고 있는 것으로 통계됩니다. 
106,비타민c로 코로나 환자 치료도 한다던데요?,독감 백신은 하루 100인으로 제한됩니다. 
107,그럼 먹으면 안먹는거보다 좋긴 한거죠?,독감으로 인해 열이 나면 코로나 검사를 받아야 할 수 있어서로 예측됩니다.
108,언제 만들어져요?,그렇습니다. 
109,만들어지면 독감예방주사처럼 바로 가서 다 맞는거예요?,열이 나면 예방차원에서 코로나 검사를 먼저 실시해야 합니다. 
110,그것도 어린이랑 노인분들만 무료로 맞춰주나요?,아직 논의되지 않았습니다. 
111,홍삼 먹으면 코로나 예방에 도움 되나요? ,"네, 즐거운 하루되세요."
112,코로나 예방된다고 홍삼 판다는 광고 많이 하던데요?,네 그렇습니다. 
113,그럼 신고도 되나요?,네 채워놓도록 연락하겠습니다. 
114,어디다 해야돼요?,네 말씀하세요. 
115,그럼 먹으면 코로나 감염 예방에 도움되는 음식은 뭐가 있을까요?,고체 비누로 인한 감염은 되지 않습니다. 
116,면연력에 좋은게 뭐가 있을까요?,네 거품을 내서?30초 이상 흐르는 물에 씻으면 문제 없습니다. 
117,또요? 또 뭘하면 코로나에 안걸리수 있을까요?,물로만 씻는 것 보다는 고체 비누로 씻는 것이 감염 예방에 훨씬 효과적입니다. 
118,독감 백신으로 코로나 예방 가능한가요?,감사합니다. 
119,그럼 코로나 예방도 안되는데 이번에 왜이렇게 맞는 사람이 많아요?,외출 후 손을 비누로 흐르는 물에 30초 이상 씻어주세요. 
120,코로나 예방도 안되는데 새삼스레 웰케 많이들 독감 접종하는거예요?,다른 피부에서도 바이러스가 검출 될 수 있습니다.
121,"아, 독감이랑 코로나랑 증상이 비슷해요?",손이 외부 환경에 가장 많이 노출되어 있기 때문입니다. 
122,의사들도 구분을 못해요?,그렇습니다.
123,코로나 백신도 제나이면 돈내고 맞아야 하나요? ,"네 눈과 코, 입 등으로 들어갈 경우 감염됩니다. "
124,코로나 예방 수칙 중에 손씻는 거 있잖아요. ,네 그렇습니다.
125,진짜요? ,네 외출 후에는 몸 전체를 씻으시는 것이 좋습니다. 
126,코로나 감염 예방 위해 손 씻기 하잖아요.,네 건강 유의하세요.
127,외출 후 손만 잘 씻으면 돼요?,네 투약 합니다. 
128,바이러스가 얼굴이나 다른 피부에는 안 묻어요?,렘데시비르와 덱사메타손을 처방받은 것으로 알려졌습니다.
129,근데 왜 티비보면 맨날 손 씻는 얘기만 해요?,우리나라의 경우 중증환자에게 사용하고 있습니다. 
130,손으로 여기 저기 만지니까요?,9월 7일 기준 총 274명입니다.
131,손이나 피부에 바이러스가 묻는거 만으로 감염되는건 아니죠?,사망 환자는 누적 16명입니다. 
132,"그래서 손으로 눈이나 코, 입 만질까봐 씻으라고 하는 거군요?",렘데시비르 투약과만 관련된 것은 아닙니다. 
133,"그럼 손씻고 세수 안한 얼굴 만지고 눈, 코, 입 만지는 것도 위험한 행동이네요.",현재 코로나 치료로 승인된 다른?약은 없습니다. 
134,우리나라에서도 렘데시비르 투약 하나요? ,네 현재 개발 중에 있습니다. 
135,그게 이번에 트럼프가 처방 받았다는 약 맞죠?,네 그럼 통화 종료하겠습니다. 
136,우리나에서도 코로나 걸림?그 약 쓰는 거예요?,"네, 그렇습니다."
137,몇명이나 썼어요?,"네, 특별한 경우가 아니라면 마스크 착용 하셔야 합니다."
138,그럼 그사람들 다 났어요? ,그렇다 하도라도 마스크는 착용하셔야 합니다.
139,그 약을 썼는데도 치료가 안된거예요? ,마스크 착용시 호흡이 어려운 호흡기기저질환 환자는 예외입니다.
140,그럼 렘데시비르만큼 적합한 약이 또 있어요?,마스크 착용 시 건강이 악화 될 수 있는 중증환자도 예외입니다.
141,더 궁금 한 것 있으신가요? ,전문의의 소견이 있어야 예외로 인정 할 수 있습니다.
142,서울시는 마스크 의무착용 인가요?,"네, 그렇습니다."
143,병원에 입원 해 있는 사람들도 마스크를 쓰고 있어야 되요?,"네, 맞습니다."
144,병원은 소독 같은것도 잘 되고 하니까 안써도 되지 않아요?,마스크 구매 안내해드리겠습니다.
145,마스크 쓰는게 불편한 사람은 어떻해요?,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하실 수 있습니다.
146,그래요?,네 맞습니다.
147,수술하고 그런 사람들은 마스크 쓰는게 불편하지 않나요?,현재 마스크 공급량이 부족하여 마스크 요일제를 시행하고 있습니다.
148,마스크 착용이 예외되는 사람은 누가 결정해요?,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능하다고 안내하고 있습니다.
149,의사가 보고 결정 하는 거라고요?,약국에서 판매되고 있습니다.
150,그런 경우가 아니면 병원에 입원 해 있어도 마스크는 계속 쓰고 있어야 된다는거죠?,판매하는 곳이 있으면 구매하셔서 사용하셔도 됩니다.
151,마스크 구매 하고 싶은데 지금 다 품절이라는데 어떻게 해요?,현재 상황에선 마스크 요일제에 따라 정해진 요일에 약국에서 사시는게 저렴하고 안전한 방법이라고 생각됩니다.
152,근데 아니 어떻게 두 개만 가지고 일주일을 살 수 있어요?,네 감사합니다.
153,썻던 마스크를 또 써도 되는거에요?,네 말씀하세요.
154,굉장히 찝찝하네요. 아무데서나 살 수 있어요?,의료용 마스크의 경우 일회용으로 착용하시고 버리시는걸 권장드립니다.
155,근데 다이소 이런데나 인터넷에서 사도 되긴 하는건가요?,마스크가 없으신 경우에는 이틀도 사용 하셔도 괜찮습니다.
156,마스크 좀 문의드릴게요.,네 맞습니다 마스크의 주름이 아래를 향하도록 하고 콧대 부분이 고정될 수 있도록 착용하셔야합니다.
157,마스크가 너무 비싼데.. 마스크는 일회용인가요?,비말이나 먼지가 주름을 타고 내려가도록 해야하는데 반대로 착용하실 경우 비말이나 먼지가 주름사이에 끼어 있을 수 있습니다.
158,그럼 두 번씩은 못쓰나요?,마스크 앞쪽을 만지지 마시고 귀쪽 고리를 잡고 빼시면 됩니다.
159,마스크 쓰는 방향이 따로 있다던데요?,마스크 표면에는 감염된 타인의 비말이 묻어 있을 수 있는데 그걸 손으로 만진 뒤 눈코입등을 만지면 비말감염이 될 수 있습니다.
160,왜 주름이 아래로 가야되는데요?,웹사이트에서 검색하시면 아실 수 있으시고 질병관리청 홈페이지에도 게시될 수 있도록 하겠습니다.
161,아 그렇군요.. 마스크를 벗을때는 어떻게 해야하죠?,네 감사합니다.
162,그렇게 하는 이유는요?,"네. 자유롭게 약국, 마트, 홈페이지에서 구매 가능합니다. "
163,마스크 구매 자유롭게 살 수 있게 되었나요?,네. 가능합니다.
164,대량으로도요?,코로나 확진자가 증가하고 해제 되었습니다. 
165,예정에는 마스크 요일제가 있었잖아요?,가져가셔야 합니다.
166,그럼 민증도 약국에 안가져 가도 되나요?,마스크 출처를 위해 필요합니다. 
167,왜요?,되도록 마스크를 쓰시길 바랍니다.
168,마스크 때문에 피부가 난리인데 벗으면 안될까요?,코로나가 종식되면 마스크를 벗을 수 있습니다. 
169,언제쯤 마스크를 벗을 수 있나요?,"개당 1,500원입니다. "
170,약국에서 가격은 어떻게 해요?,되지 않습니다.
171,할인 안되나요?,가까운 약국이나 편의점에서 구매 가능하십니다. 
172,공적마스크가 필요한데 어디서 구매하나요?,전화 후 방문 해보시길 권고드립니다 .
173,재고 확인은 어디서 해요?,어플을 통해 가능합니다. 
174,전화말고는 없나요?,네.
175,어플에 마스크 재고량이 확인가능한가요?,똑딱이라는 어플입니다. 
176,어떤 어플이죠?,지금은 폐지되었습니다.
177,마스크 5부제는 아직도 하나요?,5월부터 폐지되었습니다. 
178,언제 폐지가 되었죠?,계절용은 없습니다. 
179,마스크도 여름용이 있어요?,감사합니다. 
180,아니. 분리되어있다고 해도 숫자 집계는 하나씩 뺄수 있는거 아닌가요,선별진료소에서도 진료 담당하는 분과 검채채취하는 분이 분리되어 있습니다
181,아까는 정부에서 취합한다면서요,진단 검사는 민간 기관에서 수행되고 있습니다
182,추석 기간동안 거리두기는 어떻게 진행되나요,모든 검사 과정의 결과는 실시간으로 기록되어 조작이 불가합니다.
183,전국이 동일하게 적용되나요,전국 2단계를 적용합니다만 국공립시설운영은 제한적으로 허용됩니다.
184,야구경기는 계속 하는거죠?,수도권지역과 비수도권 지역이 다르게 적용됩니다.
185,추석 전 사우나 갈 수 있는거죠?,무관중 경기로 계속 진행됩니다.
186,친척집에 가서 조카들과 PC 방 가도 되겠죠,핵심방역지침에 잘 따르는 조건으로 이용가능합니다.
187,수도권/비수도권의 차이는 뭐에요,미성년자는 출입이 불가합니다.
188,친척들과 노래방 갈 수 있어요? ,"수도권은 총 11개 업종이 집합금지지만, 비수도권은 6개 업종이 집합금지입니다."
189,추석기간동안 워터파크에 가도 되겠죠,비수도권 지역이라면 노래방 출입은 가능하십니다만 방역수칙을 잘 지켜줘야 합니다.
190,코로나 치료제는 나오나요?,아직까지 치료제는 확실히 밝혀진게 없습니다.
191,언제 개발되나요?,최근 FDA에서 치료제로 긴급승인이 되긴 했습니다.
192,아그래요? 어떤 약인가요?,"""렘데시비르""입니다."
193,코로나 예방 백신은 있을까요?,현재는 알려진 백신이 없습니다.
194,코로나에서 회복되면 면역이 생기나요?,아직까지 재감염에 대한 연구는 진행중입니다.
195,그럼 코로나에 걸리면 치료비는 누가내나요?,국가 및 지자체에서 부담합니다.
196,PC방에 너무 가고 싶은데 가도 되나요?,단 협조하지 않을 경우 지원이 제한됩니다.
197,손소독만 잘 하면 되는거 아닌가요?,다중이용시설에 대해서는 개인방역수칙을 잘 지키셔야됩니다.
198,안녕하세요. 질병관리본부입니다.,마스크도 꼭 착용하셔야 합니다.
199,다른 질문 있으십니까?,동물 및 사람에게 전파될 수 있는 바이러스입니다.
200,안녕하세요. 질병관리본부입니다.,사람에게 전파 가능한 코로나바이러스는 6종이 있습니다.
201,그럼 된다는 말이네요?,4종은 감기와 같은 질병을 일으키고 2종은 아닙니다.
202,"아이고, 그럼 다른 친구들하고 나눠 써보라고 해야겠어요.",이번 유행 바이러스는 6종 중 하나인 신종 바이러스입니다.
203,안녕하세요. 질병관리본부입니다.,2019년 중국 우한에서 처음 보고되었습니다.
204,안녕하세요. 질병관리본부입니다.,"코로나바이러스는 낙타, 소, 고양이, 박쥐 등에서 흔하게 서식하는 바이러스입니다."
205,아니. 분리되어있다고 해도 숫자 집계는 하나씩 뺄수 있는거 아닌가요,대부분 그렇지 않지만 드물게 사람에게 전파되어 전염될수 있습니다.
206,아까는 정부에서 취합한다면서요,박쥐에게서 유래한 것으로 추측하고 있습니다.
207,추석 기간동안 거리두기는 어떻게 진행되나요,"네, 말씀하세요."
208,전국이 동일하게 적용되나요,네
209,야구경기는 계속 하는거죠?,네
210,추석 전 사우나 갈 수 있는거죠?,집에서 손 소독제를 만드는 것과 그러한 제품의 사용을 권장하지 않습니다. 
211,친척집에 가서 조카들과 PC 방 가도 되겠죠, 올바른 성분 사용에 대한 우려가 있고 멸균 조건에서 만드는 작업이 필요하기 때문입니다. 
212,수도권/비수도권의 차이는 뭐에요,일부 종류의 세균을 죽이는 데 효과적인 손 소독제는 적어도 60% 알코올 이상이어야 합니다.
213,친척들과 노래방 갈 수 있어요? ,손이 눈에 보이게 더럽지 않거나 기름때가 없을 때 사용할 수 있습니다.
214,추석기간동안 워터파크에 가도 되겠죠,"에센셜 오일만을 기반으로 하거나 올바른 혼합 관행 없이 조제된 ""자체제작"" 또는 ""DIY"" 레시피에 의존하지 마세요."
215,코로나 치료제는 나오나요?,"네, 그편을 권장합니다."
216,언제 개발되나요?,"네, 감사합니다."
217,아그래요? 어떤 약인가요?,"네, 말씀하세요."
218,코로나 예방 백신은 있을까요?,KF94는 미세한 입자까지 막는 필터가 있습니다.
219,코로나에서 회복되면 면역이 생기나요?,KF80이나 KF60도 효과가 있습니다.
220,그럼 코로나에 걸리면 치료비는 누가내나요?,의료용 덴탈마스크도 효과가 있습니다.
221,PC방에 너무 가고 싶은데 가도 되나요?,최근 가격이 많이 내려갔습니다.
222,손소독만 잘 하면 되는거 아닌가요?,천마스크는 효과가 없는 것으로 알려졌습니다.
223,마스크 쉽게 어디서 구매할 수 있나요?,인터넷에서 대량구매하시는 게 더 저렴합니다.
224,지방에 가야하는데 대량 구매 가능한가요?,실내에서 타인과 인접한 거리일때 쓰시면 됩니다.
225,몇 개까지 살 수 있나요?,직접 찾아보시면 나옵니다.
226,마스크 이제 구매제한이 풀린건가요?,무조건은 없습니다만 마스크 쓰고 거리를 두는 것이 최선입니다.
227,마스크는 사용시간이 어떻게 되나요?,그렇습니다.
228,꼭 비싼 KF마스크만 써야하나요?,안타깝지만 상황을 받아들이거나 연기하시는 게 나아보입니다.
229,비싸서 너무 부담스러운데 일반 일회용마스크는 안되나요?,거리두기는 권고일 뿐입니다.
230,그럼 마인증된 방역스크 가격은 어떻게 되나요?,아이는 어른과 동행해야 하지만 외출을 자제하는게 더 좋습니다.
231,할인 되는 카드 따로있나요?,담배연기는 바이러스를 운반할 가능성이 적습니다.
232,코로나 감염증상이 없는 경우가 많은가요?,담배연기는 비말입자보다 작기 때문입니다.
233,코로나 검사 비용이 얼마인가요?,마스크를 쓰지 않기 때문에 조심해야 합니다.
234,코로나 개인검사했는데 사후 회사에서 감염자가 많이 나오면 개인검사비 청구 가능할까요?,코로나로 인해 가중되는 것은 없습니다.
235,혹시 더 궁금하신 사항이 있으신가요?,선별진료소에서도 진료 담당하는 분과 검채채취하는 분이 분리되어 있습니다
236,코로나 검사관련문의드립니다,진단 검사는 민간 기관에서 수행되고 있습니다
237,코로나란 전혀 상관이 없으신분인데 검사를 해야하나요?,모든 검사 과정의 결과는 실시간으로 기록되어 조작이 불가합니다.
238,보건소가면 무료 검사가 가능한가요?,전국 2단계를 적용합니다만 국공립시설운영은 제한적으로 허용됩니다.
239,그럼 검사비는 온전히 환자부담인건가요?,수도권지역과 비수도권 지역이 다르게 적용됩니다.
240,코로나 검사비는 어느정도 나오나요?,무관중 경기로 계속 진행됩니다.
241,코로나 검사비 저렴한곳은 없나요?,핵심방역지침에 잘 따르는 조건으로 이용가능합니다.
242,코로나검사는 내일가서 해도되는거죠?,미성년자는 출입이 불가합니다.
243,서울시는 마스크 의무착용 인가요?,"수도권은 총 11개 업종이 집합금지지만, 비수도권은 6개 업종이 집합금지입니다."
244,병원에 입원 해 있는 사람들도 마스크를 쓰고 있어야 되요?,비수도권 지역이라면 노래방 출입은 가능하십니다만 방역수칙을 잘 지켜줘야 합니다.
245,병원은 소독 같은것도 잘 되고 하니까 안써도 되지 않아요?,아직까지 치료제는 확실히 밝혀진게 없습니다.
246,마스크 쓰는게 불편한 사람은 어떻해요?,최근 FDA에서 치료제로 긴급승인이 되긴 했습니다.
247,그래요?,"""렘데시비르""입니다."
248,마스크 좀 문의드릴게요.,현재는 알려진 백신이 없습니다.
249,마스크가 너무 비싼데.. 마스크는 일회용인가요?,아직까지 재감염에 대한 연구는 진행중입니다.
250,그럼 두 번씩은 못쓰나요?,국가 및 지자체에서 부담합니다.
251,마스크 쓰는 방향이 따로 있다던데요?,단 협조하지 않을 경우 지원이 제한됩니다.
252,왜 주름이 아래로 가야되는데요?,다중이용시설에 대해서는 개인방역수칙을 잘 지키셔야됩니다.
253,아 그렇군요.. 마스크를 벗을때는 어떻게 해야하죠?,마스크도 꼭 착용하셔야 합니다.
254,그렇게 하는 이유는요?,가까운 약국에서 구매하실 수 있습니다. 
255,마스크 구매 하고 싶은데 지금 다 품절이라는데 어떻게 해요?,현재는 마스크 물량이 충분해서 언제든 얼마든지 구매가능합니다
256,근데 아니 어떻게 두 개만 가지고 일주일을 살 수 있어요?,원하시는 수량이나 대용양 벌크로 구매가능하십니다. 
257,썻던 마스크를 또 써도 되는거에요?,네 구매제한은없습니다
258,굉장히 찝찝하네요. 아무데서나 살 수 있어요?,평균적으로 식약청 인정한 일회용마스크 사용시간은 8시간정도입니다
259,근데 다이소 이런데나 인터넷에서 사도 되긴 하는건가요?,"가급적이면 KF80,94보건용 마스크가 차단율이 높으니 KF인증 검증된 마스크 착용 안전합니다"
260,코로나 예방에 좋은 약이 비타민C인가요?,착용안하는것보단 안전하긴합니다 대신 매일 새 마스크로 쓰시는걸 권장합니다
261,사람들은 헛 소문으로 사먹는 거예요?,"판매처마다 가격의 차이가 있긴하지만 일반적으로 1,00원~1,500원정도 판매되고있습니다"
262,비타민c로 코로나 환자 치료도 한다던데요?,마스크 지정판매처에는 따로 카드할인판매는 없습니다
263,그럼 먹으면 안먹는거보다 좋긴 한거죠?,확진자중 소수 일부 무증상자가 있습니다
264,언제 만들어져요?,아 그러셔군요
265,만들어지면 독감예방주사처럼 바로 가서 다 맞는거예요?,사내에서 감염자 속출시에는 정부지원 진료지시가 있겠지만 조금 기다려보셔야할것같습니다
266,그것도 어린이랑 노인분들만 무료로 맞춰주나요?,코로나검사 비용은 개인검사시 12~20만원으로 병원마다 상이합니다 
267,꿀 먹으면 코로나 예방에 도움 되나요? ,개인검사시 확진의 경우와 음성판정이 나왔을시 상황이 다릅니다
268,코로나 예방된다고 꿀 판다는 광고 많이 하던데요?,확진자가 나온 사내에서 확진감염시 정부지원은 가능합니다
269,그럼 신고도 되나요?,네 어떤문의인지 말씀해주세요
270,어디다 해야돼요?,네 어느병원이든 입원환자는 코로나 검사를 해야하는게 원칙입니다
