q,a
왜 무료로 검사를 해주나요?,적극적인 검사에 참여하여 확산 방지를 위해서 입니다.
무료 검사로 인해 국가적인 재정은 문제 없나요?,충분한 예산확보로 문제 없습니다.
확진 판정시 회복시까지 기간은 어느정도 인가요?,연령대 및 개인의 상황에 따라 상이하므로 답변을 드리기 어렵습니다.
평균적인 입원 기간은 어느정도 인가요?,중증환자의 경우 약 1개월 정도 입니다.
입원비용도 국가가 부담하나요?,네 그렇습니다.
코로나 치료비에 대한 예산은 충분한가요?,예산에 반영되어 있고 부족할 경우 추경을 통해 예산확보가 가능합니다.
올해 예산은 충분한가요,현재 코로나가 감소 추세로 문제 없습니다.
환자가 직접 병원비 본인 부담금을 먼저 낸경우 나중에 어떻게 청구하면 되나요?,환자가 보건소로 직접 서류를 통해 신청하시면 됩니다
주민등록 말소된 내국인은 격리입원치료비 지원 어떻게 받나요?,의료기관의 관할 보건소에서 지원합니다
환자본인이 치료비 신청할떄 필요한 서류가 있나요?,"입원비용 신청서 1부,의료기관이 발행한 영수증 및 진료비상세내역서 각 1부,의사소견서 또는 진단서 1부,병원체 검출 결과가 기재된 검사결과서 각 1부,주민등록상 주소지 확인가능 서류1부,통장사본 1부가 필요합니다"
격리입원치료비를 보호자가 신청할 때 추가해야할 서류가 있습니까?,네 있습니다
어떤게 필요하나요?,격리입원 대상자와 본인과의 관계를 증명하는 서류가 필요합니다
의료기관에서 격리 입원 치료비를 신청할떈 어떤 서류가 필요한가요?,사업자 등록증 1부와 사업자 통장사본 1부가 필요합니다
격리입원치료비 지원범위는 어떻게 됩니까?,"코로나바이러스 감염증과 무관한 진단검사비를 제외한 입원치료, 조사,진찰등에 드는 경비를 지원합니다"
격리입원치료비 중 지급 가능한 비급여 범위는 어떻게 되나요?,입원치료에 따른 필수 비급여 부분을 인정합니다
격리입원치료비중 검사료를 지원받지 못하는 경우도 있나요?,네 있습니다
어떤 경우가 있나요?,확진이후 시행하는 검사는 지급 불가능합니다
보호자가 코로나 확진자를 돌보기 위해 먹는 식대는 지원해주나요?,아니요 지원하지 않습니다
코로나 확진자가 기저질환이 악화가 되거나 합병증이 발생하면 격리입원치료비를 지원받을 수 있나요?,격리해제일 이후에는 지원이 불가합니다
격리입원치료비 외 중복되는 지원이 있나요?,생활지원비가 중복지원됩니다
유급휴가비와 생활지원비는 중복지원 받을 수 있나요?,아니요 없습니다
"산재,보훈 등 다른 진료비 지원제도와 관계는 어떻게 되나요?",기존제도에서 지원하고 일부 환자본인부담금등 기제도에서 보호되지 않는 항목은 격리입원치료비로 지원합니다
조사대상 유증상자 중 의사의 소견에 따라 코로나바이러스 의심이 되는 사람은 어떤 경우인가요?,"발열,기침,호흡곤란,오한,근육통,두통,인후통,후각미각소실 등의 증상이 있거나 폐렴등의 소견이 있을 떄입니다"
의사환자는 선별진료소 이외 일반 의료기관을 방문해도 되나요?,"아니요,보건소나 질병관리본부 콜센터 문의를 통해 가까운 선별진료소를 방문해야 합니다"
질병관리본부 콜센터는 몇번입니까?,OOOO번이나 지역번호 누르시고 번입니다
의사환자와 조사대상 유증상자는 어떻게 다릅니까?,"의사환자는 확진환자 접촉자 중 유증상자로 코로나바이러스 감염가능성이 높고,조사대상자 유증상자는 의사 환자보다 위험도는 낮습니다"
의사환자와 조사대상 유증상자 신고시 주의 사항이 있습니까?,"감염병 발생 신고시 감염병발생 신고서를 작성시고 감염병 발생정보,특이사항 란에 의사환자와 조사대상 유증상자를 구분하여 입력하셔야 합니다"
코로나 걸렸는데 입원하라는데요?,확진 판정 받으셨나요?
네 확진 받았습니다,어떤게 궁금하신거죠?
병원비가 얼마나 나오나요?,보통 16만원정도 나옵니다
병원비 지원도 되나요?,어디서 확진 받으셨죠?
병원에서 받았습니다,의사환자이면 진료비 지원 대상입니다
격리 입원하고 있습니다,코로나로 입원중이신가요?
병원비가 얼마나 나오는지 궁금해서요,지원 대상이시면 나라에서 지원이 됩니다
누가 지원대상이에요?,"보건소에서 입원치료통지서를 발급받은 확진환자, 의사환자, 조사대상 유증상자입니다"
어디에 신청하면 되나요?,관할 보건소에 신청하시면 됩니다.
외국인도 치료비 주나요?,네 외국인도 지원 대상입니다
외국인이 보험료도 안내는데 왜 치료비를 줘요?,감염병의 예방 및 관리에 관한 법률로 지원 대상입니다
치료비가 나오나요?,코로나 지원 대상이면 나옵니다
어떡하면 되죠?,따로 신청하시면 됩니다
어디에 신청하면 되나요?,청구 방법은 의료기관의 의료비 청구 절차와 동일합니다
코로나 검사비도 지원이 되나요?,아니요 본인이 원해서 검사 받으면 지원 대상이 아닙니다
격리입원치료비가 다 지원되는거 아닌가요?,대부분 지원이 됩니다
지원금이 다 들어오지 않았어요,코로나 증상 외에 다른 병도 있으셨나요?
제가 당뇨가 있었어요,당뇨로 치료를 받으셨나여?
네 혈당이 계속 떨어져서 치료 받았어여,기저질환이 있는 경우 격리치료기간 해제 이후에는 치료비 지원이 안됩니다
코로나 치료 끝나고 당뇨 치료 받은건 제 부담이라는 건가요?,네 본인 부담입니다
자가격리중에 다른 곳이 아프면 병원가도 되나요?,네 병원 가셔도 됩니다
자가격리중에는 병원비 지원 된다던데 다른곳이 아파도 되나요?,격리기간중에만 지원 됩니다
며칠전부터 열이나서 코로나 검사를 받으려고 하는데요,코로나 검사 받으신다구여?
네 근데 진료 받으면 진찰비도 나라에서 주나요?,확진판정 받으시면 지원됩니다
음성이면 안주나요?,네 그렇습니다
코로나 치료비 준다면서 저는 왜 안주나요?,양성 판정 받으셨나요?
네 최근에 받았습니다,치료 받고 계신가요?
네 격리치료 받고 있습니다,코로나 검사시 다른 검사도 받으신 적 있나요?
귀가 아파서 귀도 좀 봤어요,코로나19와 무관한 검사는 지원되지 않습니다
관련있을까봐 검사했는데 안줘요?,코로나 관련 검사만 지원됩니다
회사원인데 격리입원치료 중입니다,코로나로 치료받고 계신가요?
어떤거 받을 수 있나요?,격리입원치료비 지원됩니다
회사에서 휴가도 쓰고 왔는데 그것도 되나요?,유급휴가비 지원이 됩니다
생활지원도 된다던데요?,생활지원비도 지원 됩니다
"그럼 치료비,유급휴가비,생활지원비 다 받나요?",유금휴가비와 생활지원비는 중복 지원되지 않습니다
교회다니고 있는데 코로나 검사 받으라고 연락이 왔어요,어디서 연락이 왔나요?
보건소 같아요,어느 교회에 다니시나요?
신천지 교회요,코로나 조사 대상이시네요
그래서 연락온건가요?,네 검사 대상입니다
그럼 교회 사람 다 받아요?,문자 받은 분만 받으면 됩니다
저한테 문자 왜 온거요?,확진자와 접촉하였나요?
그건 잘 모르겠는데요,관련이 있어서 연락이 간 것 같습니다
어디서 받으면 되는거에요?,가까운 보건소나 선별진료소로 가면 됩니다
비용은 얼마나 나올까요?,조사대상이면 지원됩니다
안내도 된다고요?,네 그렇습니다
코로나로 입원중에 있어요?,누가 입원하셨져?
입원비도 다 지원비 되는건가요?,네 입원치료비 지원이 됩니다
얼마동안 지원되요?,격리 입원 치료 기간동안 됩니다
증상이 심해서 지금 한달정도 있는데요 괜찮나요?,네 기간중 지원이 됩니다
남편이 가장이라 지금 생활이 어려운데 다른 지원도 되나요?,네 다른 지원도 하고 있습니다
어떤 지원이 가능하져?,생활지원도 가능합니다
코로나 검사를 받을까요?,증상이 있나요?
아직 전혀 없어요,접촉한 적이 있나요?
저같은 경우 검사받아도 지원비 주나요?,본인이 원해서 받는 검사는 지원되지 않습니다
병원비는 다 지원되죠?,네 지원되고 있습니다
지원 절차가 어떻게 되나요?,관할 구청에 신청하시면 됩니다
그런데 직원이 주민번호가 말소되었다고 하는데 받을 수 있나요?,주민등록상 주소지가 없는 경우 의료기관의 관할 보건소에서 지원합니다
그렇게 하면 받을 수 있는건가요?,네 그렇습니다
가게에서 일하는 베트남 직원이 코로나에 걸렸어요,확진판정 받았나요?
해열제를 먹어도 열이 떨어지지 않는데 어떻하져?,입원치료를 받으셔야 할 것 같습니다
병원치료 받으라구요?,네 그렇게 하셔야 할 것 같네요
외국인도 지원 받을 수 있나요?,외국인도 치료비 지원됩니다
해외에서 입국하면 코로나 검사 받나요?,네 검사 받아야 합니다
누구든지 다 받아야 하나요?,네 필수로 받으셔야 합니다
검사비는 내나요?,해외 입국시 코로나 검사비는 지원 대상입니다
또 검사 받으면 그것도 지원되나요?,본인이 원해서 받으시면 지원되지 않습니다
코로나로 입원하게되었는데요,격리치료입원하시나요?
뭐 좀 여쭤보려구요,네 질문하세요
집에 저밖에 돈 버는 사람이 없어서 걱정입니다,생활지원도 가능합니다
중복해서 신청할 수 있나요?,네 같이 신청할 수 있습니다
안녕하세요. 관광사업체 지원금이 있다고 들어서요.,"네, 지역이 어디인가요?"
대전이요. ,"네, 대전시에서 관광사업체에 지원금을 지급한다는 발표가 있었습니다. "
숙박업도 포함인가요?,"네, 관광숙박업도 포함되어 있습니다. "
지급액은 얼마인가요?,업체당 100만원 내외입니다. 
금액은 자유롭게 사용하는 건가요?,"홈페이지, SNS관리, 사무실임대료, 시설비 용도로 사용하시도록 지급됩니다. "
별도로 신청을 해야해요?,"네, 신청 후 심사를 거친 뒤 지급됩니다. "
어디로 신청해야해요?,대전관광협회로 신청서를 보내시면 됩니다. 
언제까지요?,13일까지 입니다. 
사업비 지출 내역을 내야하나요?,"네, 그렇습니다. "
러시아에서 백신 만들어졌다는 말이 많던데 맞나요? ,지난 8월 러시아에서 코로나 백신을 들록했다고 합니다.
지금 살 수 있나요?,아직 판매되고 있지 않습니다. 
임상 실험도 끝난 건가요? ,러시아에서 발표한 바로는 그렇습니다.
믿을 만 한건가요?,러시아에서 구체적인 자료는 공개하지 않고 있습니다. 
그거 판매되면 우리나라도 그거 사나요?,안정성 입증이 우선 되어야 할 것 같습니다. 
그럼 백신 살 준비를 안하고 있나요? ,해외 백신 확보를 위한 논의가 이루어지고 있습니다. 
전국민이 맞으려면 백신이 많이 필요할텐데 다 확보할 수 있을까요? ,1단계로 3000만명 분량의 백신을 확보한다는 계획이 있습니다. 
그럼 전국민이 다 맞을 양이 아닌거죠?,네 그렇습니다. 
그럼 누가 먼저 맞는 거예요?,논의 중에 있습니다. 
주사 비용은 비쌀까요?,가격 또한 논의를 거쳐야 합니다. 
선진국에서 코로나 백신 사재기 하고 있다는데 진짠가요? ,어떤 코로나 백신을 말씀하시는 건가요?
지금 만들어진거요.,현재 판매 중인 백신은 없습니다. 
기사에서 영국이랑 미국이랑 계약했다는 것 봤는데요.,미국이 제약사와 백신 공급 확보 계 약을 맺은 일은 있습니다 
그러면 지금 만들어진 건 아니고 만들게되면 공급받기로 계약 한건가요?,그렇습니다.
그럼 우리나라는요? ,우리나라는 아직 계약을 맺지 않았습니다.
우리나라도 미리 계약 해야 하는거 아닌가요? ,해외 백신 확보를 위한 논의가 이루어지고 있습니다. 
"빨리 계약을 해야지, 이러다 백신 있어도 다 뺏기고 하나도 못사는거 아니에요? ",1단게로 3000만명 분량의 백신을 확보한다는 계획이 있습니다. 
어느나라 백신이요?,아직 정해진 사항은 없습니다. 
미국이 백신 독점 못하게 막을 방법은 없는거예요?,WHO에서 공정한 과정을 통해 백신을 공급하자는 취지의 코백스 구상을 진행하고 있습니다. 
알겠습니다. ,"네, 더 궁금한 사항 없으심 상담 종료하겠습니다. "
내년 추석 전에 코로나 백신접종 기대라던데 진짜가요?,중앙방역대책본부에서 관련 내용 브리핑이 있었습니다.
정말 반가운 소식이네요.,그렇게 되기를 기대하고 있습니다. 
정확한 시기는 모르죠? ,"네, 예측입니다. "
접종 순서나 금액은요? ,논의 중입니다. 
우리나라 백신이에요? ,그것 또한 논의 중입니다. 
그럼 치료제는요? ,치료제 분야에도 성과가 있습니다. 
우와 임상실험까지 끝난거예요? ,"현재 임상 2,3상 진행과 임상1상 결과 분석 진행 중입니다. "
정말 다행이에요. ,희망을 가지고 항상 방역 열심히 해주시기 바랍니다. 
치료제 많이 개발되면 완치자 수 더 늘겠지요?,그럴것으로 예측됩니다. 
"네, 답변감사합니다. ",네 더 궁금한 것 없으신 상담 종료하겠습니다. 
코로나 백신 주사 관련해서 궁금한게 있어요. ,네 어떤 점이 궁금하신 가요? 
독감 백신은 의무적으로 다 맞는건 아니잖아요.,네 그렇습니다.
코로나 백신 개발되면 그거도 의무적으로 다 맞진 않나요?,아직 논의 중에 있습니다. 
이번에 독감백신 문제 생긴거 보니까 전국민 100% 맞을 양은 없나 보더라고요.,네 그렇습니다. 
국민 몇프로나 맞을 양이에요?,방역당국 입장은 전체 인구의 57%가량이 접종할 수 있는 독감 백신 물량으로도 충분하다고 판단하고 있습니다. 
코로나 백신도 그 정도면 될 것 같나요? ,아직 논의 중에 있습니다. 
다른 나라 접종 비율도 영향을 끼치나요? ,전 세계 인구가 백신 맞아야 종식될 것으로 예상됩니다. 
아직 먼 얘기 같네여.,백신 개발 및 확보를 위해 여러 노력 중입니다. 
올 겨울에 독감이랑 코로나랑 겹치면 병상확보도 그렇고 문제 많겠죠? ,코로나로 인한 거리두기가 독감 예방에도 효과를 낼 것이라 생각합니다. 
네 답변 감사합니다. ,네 더 궁금한 점 없으시면 상담 종료하겠습니다. 
코로나 백신 개발 얘기 들리던데 백신 개발되면 다 맞는 거에요? ,"방역당국은 단계적인 예방접종 전략을 완성하고, 필요한 모든 조치를 점검하며 대비하고 있습니다. "
백신 맞으면 이제 코로나 걱정 없는 거죠? ,백신만으로 코로나가 종식 될 것이라 예측되진 않습니다.
그러면 어떡해요?,당장은 거리두기 일상화를 통해 방역 효과를 지속적으로 하는 것이 가장 중요하다고 생각합니다. 
백신을 맞아도 종식선언 전엔 거리두기를 계속 해야 하는 군요.,네 그렇습니다.
종식이 되긴 하겠죠?,빠른 종식이 오도록 노력하고 있습니다. 
코로나 이전의 세상은 이제 없다더니 그 말이 맞군요.,백신의 효과는 한정적일 수 있기 때문에 거리두기가 일상화된 새로운 일상에 적응이 필요할 것으로 보입니다. 
너무 길어지니 지치네요.,네 기간이 길어져 지치시겠지만 끝까지 방역 지침 지켜주시기 바랍니다. 
네 다들 힘들테니 더 힘드신 분들 생각해서 노력해야겠네요. ,네 노력해주셔서 감사합니다. 
아닙니다.,더 궁금한 점 있으신가요? 
"아니요, 없어요. ",네 즐거운 하루되세요. 
저까지 5명이요.,휴업수당 신청 하실수 있습니다.
그래요? 어디서 신청해요?,고용노동부 홈페이지에서 신청하시면 됩니다.
서류같은거 필요한게 있어요?,"네, 신분증,월급입금내역서등이 필요해요. 자세한 내용은 홈페이지에 나와있습니다."
홈페이지에 신청하는 방법도 나와있는거죠?,"네, 홈페이지에 자세히 설명되어 있습니다."
코로나 지원금 문의하려고요,"네, 어떤 지원금 말씀하시는건가요?"
혹시 초등학생한테 주는 지원금이 있나요?,"네, 아동특별돌봄지원금이 있습니다."
얼마주나요?,초등학생 아동 1인당 20만원 입니다.
언제 주나요?,추석전에 일괄 지급한다고 합니다.
어떻게 주나요?,현금으로 지급된다고 합니다.
직접주는건가요?,"아니요, "
그럼 신청을 따로 해야하나요?,자녀 스쿨뱅킹 계좌로 지급됩니다.
스쿨뱅킹 계좌가 뭔가요?,개인별로 학교에 수업료나 급식비를 납부하는 계좌입니다.
저는 카드로 납부했는데 그럼 못받는건가요?,아닙니다. 받을 수 있습니다.
코로나 백신 언제 나오죠?,개발중에 있습니다.
백신은 개발중이긴 한가요?,현재 개발단계 중 입니다.
임상실헌 단계까지 갔다고 하는데 맞나요?,백신관련하여 정확한 정부 입장은 없습니다. 
중간 보고라도 해야하지 않나요?,논의 중 입니다.
백신관련해서 정볼르 알고 싶은데 어떻게 알 수 없나요?,아직 국내에서도 실험 단계에 있습니다. 
그럼 언제쯤 백신이 나올까요?,현재 개발중 이라는 말밖에 해드릴 수 없습니다.
답답하네요,백신 개발에 최선을 다하겠습니다.
코로나 한번걸리면 완치없이 부작용도 많다던데 사실인가요?,여러 사례가 질병관리청에 계시되어 있습니다.
무서워요.,항상 방역에 최선을 다하겠습니다. 
백신소식이나 자주 접하게 해주세요,네. 감사합니다.
코로나19 백신에 대해 궁금한게 있어요 ,"네, 백신 어떤 점이 궁금하신가요? "
지금 백신 나왔나요? ,아직 백신 개발 단계입니다. 
현재 우리나라에서 실험 중인 것들이 있나요?,네. 국내 제약회사에서도 실험 중에 있습니다. 
언제쯤 백신이 나올까요?,전문가들은 내년초쯤 나올수 있다 말합니다
그럼 백신이 나오면 바로 코로나가 종식될까요?,내년초에 백신이 나와서 내년 겨울쯤 잡힐거라 생각하고 있습니다
요즘 코로나 확진자수가 어떤가요?,점점 줄어들고 있는 추세입니다
우리나라는 왜 계속 갑자기  확진자가 늘어난거예요? ,마스크 안쓰고 집단활동에 참여하면서부터 입니다
마스크만 잘 쓰면 예방이 될까요?,네 걸릴 확률이 적습니다
그외에 무슨 방법이 있나요?,손을 자주 씻고 사람 많은곳에 가급적 피하십시요
마트같은데 갈때 덴탈마스크 착용해도 괜찮겠지요?,가급적 KF94 마스크 착용하시는걸 권장합니다
코로나 백신에 대해서 궁금한게 있어서요.,어떤점이 궁금하신가요?
지금 백신이 나왔나요?,아직은 개발단계에 있습니다.
그럼 언제쯤 나오는거예요?,아직은 알수가 없습니다.
우리나라에서도 개발중인거죠?,국내 제약회사에서 개발중에 있습니다.
백신이 개발된 나라도 있나요?,중국과 러시아가 있다고 알고 있습니다.
그 백신은 사용할수 없는건가요?,아직은 사용단계가 아니라고 합니다.
그렇군요.,백신이 빨리 유통이 됐으면 좋겠네요.
백신이 나오면 마스크를 벗을수 있을까요?,개발되어도 당분간은 마스크를 착용해야 할것같아요.
제가 외국인인데 입원치료비를 지원받을 수 있나요?,지금 격리입원치료중이신가요?
"네,",그럼 국고부담으로 질병관리본부에서 지원받으실 수 있습니다.
몇 일간 지원받을 수 있어요?,격리입원치료 명령이 시작된 날부터 해제된 날까지 지원됩니다.
코로나 완치 후 합병증이 생겼는데 뭐 지원받는거 없나요?,어떤 합병증이생기셨나요?
당뇨랑 천식이 심해졌어요.,죄송하지만 격리해제일 이후에는 지원 불가합니다.
심장질환 악화는요?,지원 불가합니다.
치료비 외에 지원은 받을 수 없다는건가요?,격리입원치료비 대상자는 생활지원비가 중복지원가능하십니다.
진단검사비도 받을수 있겠네요?,진단검사비는 격리입원치료비에 포함되어 있어서 중복지원 불가입니다.
그럼 유급휴가는?,유급휴가비와 생활지원비는 중복 지원 불가입니다.
지금 코로나 때문에 장사도 안되고 진짜 죽겠어요. 뭐 지원해주는거 없어요?,자영업에 종사중이신가요?
"네, 치킨집해요.",정부에서 지원금을 지원하고자 노력중입니다.
정책나온거 없어요?,현재 자영업자와 소상공인을 대상으로 100만원을 지원할 예정입니다.
신청기간이 언제예요?,신청기간은 10월 말입니다.
정부에서 코로나지원금으로 통신비를 준다는데 저도 받을 수 있어요?,"네, 통신비는 지원됩니다 하지만 지원대상이 정해져 있습니다."
다주는거 아니예요?,"네, 연령제한이 있습니다."
저 30살인데요?,그럼 통신비를 지원받으실 수 있습니다.
어떻게 지원받아요?,10월에 청구되는 9월 사용분 통신비에 반영됩니다.
내 나이가 67세인데 통신비 지원 받을 수 있을까 해서요,"네,65세 이상이시면 지원받으실 수 있습니다."
근데 통신비가 뭔데요?,본인 명의의 핸드폰비를 지원해드리는 겁니다.
그럼 집전화는?,집전화는 해당되지 않습니다.
통신비 지원받게 어떻게 신청하면 되지요?,별도의 신청없이 일괄 적용 됩니다.
신청을 안해도 된다구요?,"네, 9월 요금에 반영되서 요금이 청구될겁니다."
근데 그럼 우리 딸도 받을 수 있나 확인 좀 해줘요,따님분 연령이 어떻게 되세요?
우리딸 32살입니다.,"네, 만16~34세에 해당 되셔서 지원 받으실 수 있어요."
아이고 잘됬네요.,더 궁금하신거 있으세요?
정부에서 통신비 지원해준다고 하는데 제가 다회선 사용자인데 그럼 어떻게 지원되요?,통신비 지원은 명의당 1인당 1회선에 한해 지원됩니다.
그럼 다회선이라도 1회밖에 지원받을 수 없다는 말인가요?,"네, 다회선 사용자의 경우 후불가입으로 개통된 휴대전화로 우선 적용됩니다."
후불가입이요?,"네, 후불가입이 여러 회선일 경우 사용중지가 아닌 회선 중 가입일자가 가장 오래된 회선이 적용됩니다."
제가 받고싶은 통신사가 있는데 변경 안되나요?,"네, 어렵습니다"
왜죠?,이용자의 편의를 위해 신청절차 없이 일괄로 적용되는 사항으로 개인별로 선호하는 통신사에 통신비 지원이 되지 않는 점은 양해 부탁드립니다
그럼 통신비 금액이 2만원 미만이면 어떻게 되요?,2만원 미만시 이월 등의 방법으로 최대한 보장해드릴 예정입니다.
근데 명의변경 방법이 있어요?,명의변경기간에 명의를 변경하시면 됩니다.
명의변경 기간이 언제인데요?,명의변경 기간은 9월 28일~10월 15일입니다.
뭐 챙겨가야되요?,명의 양도자나 양수인 중 아무나 한분만 신분증과 간단한 증빙서류를 갖고 가까운 대리점에 방문하시면됩니다.
통신비 지원 받기 위해서 명의 좀 변경하고 싶은데 증빙서류가 있나요?,"네, 있습니다."
"아니요, 몰라요.","명의변경 기간은 10월 15일까지이고 증빙서류는 가족관계증명서, 건강보험증, 주민등록등본, 기본증명서 등이 필요합니다."
근데 선불폰인데 선불폰도 지원되요?,선불폰도 통신비 지원 대상입니다.
어떻게 지원받을 수 있어요?,2만원에 준하는 요금으로 충전될 예정입니다.
핸드본 번호이동하면 통신비 못받아요?,9월 중에 통신사 변경이 발생할 경우에도 지원대상에서 누락되는 일이 없도록 지원할 예정입니다.
저는 핸드폰이 없는데 통신비 어떻게 지원되요?,이번 통신비는 비대면 활동 증가에 따른 부담 경감을 위해 지원해 드리는 정책이므로 이용 중인 분들을 대상으로 하는점 양해 부탁드립니다.
그럼 저는 못받아요?,"네, 이용중이시지 않으시면 지원받으실 수 없습니다."
통신비 지원 대신 휴대폰 소액결제를 이용한 것에 대해서 지원받을수 있어요?,이동통신요금만 지원받으실수 있습니다.
그래서 안되요?,"네, 소액결제의 경우 휴대폰 인증을 통해 구매한 것으로 지원되지 않습니다."
단말기 할부금도 지원안되요?,"네, 단말기 할부금의 경우에도 통신요금에 해당하지 않어 지원받기 어려우십니다."
통신비 지원에 대해 안내받을 수 있는 사이트 있나요?,통신비정부지원안내센터 사이트에서 확인 가능하십니다.
"아니요, 없어요","네, 감사합니다."
사회적 거리가 뭔가요?,코로나 확진자가 급증하면서 지역사회 감염 차단을 위해 실시된 정부의 권고 수칙입니다.
그럼 사회적 거리가 실행되면 어떻게 되요?,"많은 사람들이 모이는 행사 및 모임 참가 자제, 외출자제, 재택근무 확대 등이 실시됩니다."
그럼 사회적 거리두기는 몇 단계까지 있는데요?,3단계까지 있습니다.
지금은 몇 단계인데요?,현재는 2단계 입니다.
저 취업성공패키지 참여했는데 청년특별구직지원금 신청가능해요?,"네, 신청가능하십니다."
얼마나 지원되요?,청년특별구직지원금은 1회 50만원 지급됩니다.
또 다른지원은 없어요?,"취업 상담이나 알선, 취업훈련 등 취업지원서비스를 제공받으실 수 있습니다."
어디서 신청해요?,온라인청년센터 홈페이지에서 신청과 접수하실 수 있습니다.
"아니요,? 제출서류도 있어요?","네, 제출서류는 통장사본과 개인정보제공동의서 입니다."
근데 언제 돈 들어와요?,신청기간에 따라 다릅니다.
지금 신청하면 12월 전에 받아요?,"네, 지금은 2차 신청기간이므로 11월 말까지 지급받으실 수 있습니다."
근데 신청인원이 너무 많으면 못받을 수도 있나요?,"네, 현재까지 지원 목표인원은 20만명입니다 빠른 신청하시길 바랍니다."
휴업수당을 받을수 있을까요?,어떤 직종에서 일하셨나요?
서비스업이에요.,사업장 규모가 어떻게 되나요?
작은 음식점 이라 직원은 5명입니다.,"확진자가 다녀간 곳이거나, 자가격리 대상자가 있었나요?"
아니오. 해당사항 없습니다.,"그렇다면, 휴업을 하게된 이유는 무엇입니까?"
코로나로 인해 매출급감 이라고 알고있습니다.,그 외 특이사항은 없나요?
"네, 그렇습니다.",휴업수당 신청 가능하십니다.
신청은 어떻게 해야하나요?,고용노동부에 문의 하시거나 홈페이지에서 확인가능 하십니다.
필요한 서류는 뭐가 있을까요?,"신분증, 통장사본,급여 입금내역 등이 있으나 자세한 사항은 홈페이지 참조 바랍니다."
휴업수당은 얼마 받을수 있는 건가요?,평균임금의 70% 이상입니다.
코로나 백신 문의 좀 드릴꼐요?,"네, 어떤점이 궁금하시죠?"
"지금, 백신이 나왔나요?","아직, 개발 중입니다."
언제쯤 예상하시나요?,"아직, 정확히 알순 없습니다."
우리 나라에서도 진행중인가요?,"네, 국내에서도 개발 중입니다."
근데 중국은 코로나 종식선언헸다는데 맞나요?,중국 통계상 그렇습니다.
백신도 개발해서 접종했다는데요?,"네, 국영 제약사에서 백신을 접종했다고 전해지고 있습니다."
믿을수 있을까요?,"정확히 알수는 없지만, 임상시험 마지막 단계인 3상을 진행하고 있다고 합니다"
우리 나라는 왜 이렇게 늦나요?,신중히 개발 연구 중입니다.
중국백신이 성공하면 우리나라에 공급되나요?,"네, 합리적인 가격에 전세계에 제공하겠다고  밝혔습니다."
"네, 알겠습니다.수고하세요.",있습니다.
2차에 받았어도 또 가능한가요?,네 가능합니다.
확실한건가요?,네. 그렇습니다. 
저는 못받았는데요?,아니 억울하네요. 이거 누구한테 따져야 하나요?
알겠습니다.,네. 감사합니다.
코로나 백신에 대해서 궁금한게 있어서요.,어떤점이 궁금하신가요?
지금 백신이 나왔나요?,아직은 개발단계에 있습니다.
그럼 언제쯤 나오는거예요?,아직은 알수가 없습니다.
우리나라에서도 개발중인거죠?,국내 제약회사에서 개발중에 있습니다.
백신이 개발된 나라도 있나요?,중국과 러시아가 있다고 알고 있습니다.
그 백신은 사용할수 없는건가요?,아직은 사용단계가 아니라고 합니다.
